Rank,Network,Address,Prizes,Balance,Winrate
200,0xd449a5eee2c5bc7be0913379bd051c4ced10307b,polygon,1,6,20.83%
201,0x4f875a5298523d6f2a3d020e3798f7e0e1f750f0,polygon,10,58,20.82%
202,0x16e3a8d05dd429c603ea88d5c898d822ac5a7469,polygon,21,122,20.71%
203,0x8b5f0a166edba65a7fcdc3cfd7643cbe54dd55e9,polygon,273,1601,20.55%
204,0x41bd4df299bb6d816368305d15177f796cad1768,polygon,203,1202,20.32%
205,0x30aad763e15cb6b4071a4d884e956797172cae42,polygon,21,123,20.32%
206,0xd02f0bf3ca487ef4965a99a8e4a5382eafe20526,polygon,1,6,20.13%
207,0xa01742244e0c85c370db641587ea18f838a111a4,polygon,1,5,20.12%
208,0xa57d294c3a11fb542d524062ae4c5100e0e373ec,polygon,10,60,20.07%
209,0xe07e487d5a5e1098bbb4d259dac5ef83ae273f4e,polygon,3498,20942,20.03%
210,0x7f8ffc8d519043574d6ee5065dd40d3d9fd1b826,polygon,10,60,20.00%
211,0xc27ffba63dd776c70d000de5a1983f3a6af04348,polygon,10,60,20.00%
212,0x8cccfa7b9ec9076b76041940d7835bc0a4488c6e,polygon,10,50,20.00%
213,0x174cab72ff9bf6ba3733ebc819fadb4df2903235,polygon,20,120,20.00%
214,0xeff96b4be9cf6738be1742576b1fad38ccd5f6a9,polygon,1,5,20.00%
215,0xf14dc647ce229713d4c80ac934a2a3b1af1fa7c9,polygon,1,5,20.00%
216,0x48e552223e3169dcab0ecbd85e2a99e9c0fe3f62,polygon,1,5,20.00%
217,0xba28ba2d2d54ed940a2873bf523d014653a715c0,polygon,5,30,20.00%
218,0xf7659d2dd7cb7ee75a0ed22fcd68c5d3375e01b6,polygon,10,50,20.00%
219,0x718bdcd0f5020f3ab91e6e6d9832b31bc6ad02c9,polygon,10,50,20.00%
220,0xa13b1b8cc5893b5ef090ec20a356faea12a13a09,polygon,10,60,20.00%
221,0xf9dc94b9ea519af20b224618a90f39f345406d42,polygon,10,50,20.00%
222,0xa1bd4ab0a21e55c136b45c278ad36bde9362331d,polygon,10,60,20.00%
223,0x915e0833be6713260af1ccf7467a37411fb790c0,polygon,3166,19110,19.82%
224,0xc7f7b55b64a21dd819723980f3bfdf57634a5cc3,polygon,328,2015,19.44%
225,0x532250b0347a2fe99c200363f28b39566d124935,polygon,1,5,19.42%
226,0xc91f3b1a4c89391b2f89810617717d9fa7f59921,polygon,240,1469,19.38%
227,0x31efa403b983a83900d82ab063f915103ddd575a,polygon,154,951,19.31%
228,0xf01fc72364eb1ee032d468976c584ddd2e5dbf19,polygon,20,124,19.24%
229,0x5a72bfaf8dd5b251bd008fdc0b4656319ac0509b,polygon,188,1181,18.88%
230,0xc66a0fe3f77aa6c6bc49a245504788edf573e3e9,polygon,282,1782,18.80%
231,0x1674aca0220c10afc4b70cbb2721b3613974bd9f,polygon,3149,19980,18.65%
232,0xf5a502f771aeceebd98032fbb570594ffca3dbbb,polygon,202,1287,18.62%
233,0xf6210c444a1b0a4cd0946fb4b40a259ed6b3f699,polygon,130,829,18.61%
234,0x8a5efa3159cc0ef3d0f4032cfd15d14263d3fe05,polygon,20,128,18.49%
235,0xba3cf2012a1a54b69b40b60ba586efadf6efb04a,polygon,160,976,18.48%
236,0xff253f74a8ef104c1fedcb99442a1421cbc285fc,polygon,11,71,18.33%
237,0x560a9b19abddf392347acf1029fcc25829ecf26d,polygon,218,1408,18.28%
238,0xc6c9d802bc16d8746aafcac4781f9a8d442d585d,polygon,20,130,18.18%
239,0xb9e7b7601d2cea8f597e577b9869fd5905a639bc,polygon,10,65,18.18%
240,0x4c5a3a7f0aa5e486d5d77a2cfbb325b22c6e69b1,polygon,3621,23616,18.10%
241,0x7ca5b9fd78f0d7db24620a6c51da3cc1a8d30898,polygon,145,944,18.10%
242,0xe4724b6686dc792a816c229deb067e390b006ee2,polygon,36,226,18.00%
243,0x1bc6ffc45985ab5baee5a5f20125281ed5903d8d,polygon,20,112,17.88%
244,0xa02a1b6cdb290720596dae852b70cb231d1afe93,polygon,15,94,17.86%
245,0x25744247a760dd8c73eaa81307e1ff827e8bcfa3,polygon,20,132,17.80%
246,0x2686886288ad4ef96ab4c9181e8ae1b889aaa539,polygon,387,2547,17.72%
247,0xa8afffdffb30c29db59788d357d778dd4210feea,polygon,3462,23064,17.66%
248,0x45a117fbf330559c79b26a6127a665f38533f3d5,polygon,30,201,17.54%
249,0x0857d7771aa13a0988f7aac9d72bfeea6b69d73c,polygon,59,377,17.51%
250,0x3e1ff895fd5a1d9c284060e8866d9a647f55ac55,polygon,16,107,17.51%
251,0x7a4d0fa30b65e7b79a209af4d7dd03fb971d0d21,polygon,33,191,17.42%
252,0x037343879ca2c1d0078038549ee042046f32243f,polygon,174,1164,17.41%
253,0xa92a34360ff605a7012e946e148b86cf0923eab2,polygon,3723,25125,17.38%
254,0xc7e36bc2f80543b6c244b147606f9501da6c6561,polygon,3005,20305,17.37%
255,0xa5b5d9eb088b1bb24be798d8d71eb58becc15393,polygon,7,48,17.28%
256,0x3756f9b4690ef223dba23ae0993d95c6f36325b7,polygon,54,365,17.23%
257,0x2e9b07034a984e1e6204136a8787db3acb4db0e4,polygon,164,1105,17.20%
258,0x0d66982933dea66b7cc54354f6d04d41c1b1ef07,polygon,10,58,17.10%
259,0xa14ac1a9b3d52abd0652c5aca346099a6eb16b54,polygon,279,1914,17.06%
260,0x1ef59c1ca138abad53d3a5aa3b26cd8be39b0156,polygon,10,69,16.97%
261,0x42f3a946dc469e90e14c2f907b9d0aea35fdb9ea,polygon,244,1688,16.90%
262,0xe5151864ba32b400fa17c88d4366596c5b5fb8ce,polygon,114,789,16.88%
263,0x990cfcc451843331e7e834505cdaffa87eb45085,polygon,11,76,16.84%
264,0xec64a2a41a2c6ac971a835d57188b103171447d7,ethereum,42,250,16.80%
265,0x02618b197ec28026cc05d97c4501d3113c4b5722,polygon,134,923,16.75%
266,0x2ebe0b56db4e962a9a61c2e5301afeba89b84d87,polygon,384,2672,16.74%
267,0x0d963a2fff5bc62d7ab0ed3ae0a169651c059e34,polygon,10,70,16.73%
268,0x41c3838a1f87990f538abd86e31d031ca9dd4c63,polygon,1,6,16.67%
269,0x18ac28b7b5a57f185a04601d891342c972144342,polygon,1,6,16.67%
270,0xe8c7910913e121f7f5873284e260e181fd1ac07d,polygon,5,35,16.67%
271,0x6a47f49c6dd58aeb5188337a714e37ff4020a8e3,polygon,20,141,16.55%
272,0x77511e047a3bafa205ed839f5af56f0b99341c26,ethereum,672,4072,16.50%
273,0x1b07bf73690dfcb332e3e554df49c5314abe5a79,ethereum,33,200,16.50%
274,0x5e4568c4d8343052a06ec8aab1e124af08b73248,polygon,34,240,16.41%
275,0x0d6c736d3ac5c68288d224b57be9759184468206,avalanche,50,307,16.29%
276,0x408f5f00315bca2e1ae1a2f0f4fc50c8df5d79f1,polygon,21,149,16.28%
277,0x84a63fe72b485eaca6785f8ebb1f9e94fb4f2ade,polygon,3247,23228,16.23%
278,0x73aefe5a56e15ecf8708aae3a8b71852d596fcde,polygon,11,79,16.18%
279,0x96ef41f43bb2a29d99e5b2e9221f7074478e0836,polygon,10,72,16.13%
280,0xbd167d37df42df3e8e2d4ffbc8993e3100097ac7,polygon,203,1462,16.11%
281,0x1bc6955e458927b30eeeb6dace42887798e69b3b,polygon,506,3648,16.10%
282,0x356ee97d7d560af2e97e9f9eee56b2e09d60e6f5,polygon,1241,8932,16.07%
283,0x57ee5c768481a3e02f0c78d1d774c1ac89e46cfc,polygon,642,4109,16.05%
284,0xb5ae2c93b57e54b300ce770d374949b283c8737b,polygon,160,1158,16.02%
285,0x2faf617a5de41d8b7df85ff58bccec793ec71d72,polygon,1,6,16.00%
286,0xdd45ca901067d65860b54d4310e37371cd92fb09,ethereum,400,2700,16.00%
287,0xe42f92a3a36a2ac5a5c8af3ab82335d16bf5f111,polygon,16,111,16.00%
288,0x2916b574fd7002bed7407c31403869fb008b4a14,polygon,30,208,15.97%
289,0x24f2e56c2a576d71b997b4cba8fd555ad39eac84,polygon,61,442,15.81%
290,0xede94152aeed971454e790ab68718f6a795f1335,polygon,5,32,15.74%
291,0x78abf0cbae4d8d8e7c7611ae95378239388add16,polygon,16,102,15.70%
292,0xab83afc880140201e94d5297085fbe17c804b78d,polygon,11,81,15.60%
293,0xec4cc3ed08037424d1eaabca3145bbc33c5b84d3,polygon,11,81,15.56%
294,0x467d4361baf24c00be10d68ae9c687315298ad67,polygon,15,97,15.48%
295,0x093c64757a2a61d88cf4a71f5851f1c2ca2feea9,polygon,290,2170,15.43%
296,0x858d669c68397fb3303c8ce1743f705544a0df96,polygon,20,150,15.35%
297,0x994db2e89a886a80c5495accfdb18e733b434a2b,polygon,3145,23623,15.22%
298,0xeeb9565c8d8db8aeb3448d6ec75e7a7d6c96bda6,polygon,761,5738,15.22%
299,0xf7b34b89b2261e31fc0ad6ab6210adc51b6fc9b6,ethereum,612,4461,15.11%
300,0x4e648ef5a384381069a1b04b621c41c5a725eea7,polygon,15,115,15.00%
301,0xfbbd34234fd94ca33c7501342bcc7866a583062a,polygon,15,110,15.00%
302,0x7e46796beef510cfd3fc830e30d56b427f9a4518,polygon,5,33,14.94%
303,0xe99d27c9b3bd08de7f051e516580c93937c5ec7c,polygon,149,1142,14.90%
304,0xde107b82e3e47ed281d276644b8115548c085c24,polygon,875,6747,14.87%
305,0x00515e4f8a5c52a526f48c3ea07238143e2c04fc,polygon,62,480,14.84%
306,0x512a519a8c6b35b6af39c3a6d219c56ab380da13,polygon,259,2012,14.76%
307,0xf1134868b55a1a448dd7f9ceed943a5f354b1c37,polygon,125,975,14.71%
308,0xcdabd291cbbf36488a649dc240fa5b5c648377d2,ethereum,285,1948,14.70%
309,0xb5cbf190fabe24d619b0d8a5b03f6bf0d10144d2,polygon,143,1120,14.64%
310,0xf756483233a6d7d85fd358603310af8544fd326d,polygon,30,235,14.61%
